3.51,8.23,4
1.15,7.98,4
0.36,9.5,4
0.75,8.45,4
0.73,8.27,4
-0.1,7.94,4
-0.18,6.3,4
3.26,6.88,4
-0.88,7.83,4
-1.9,7.67,4
2.69,8.71,4
-0.27,8.91,4
2.44,9.5,4
-1.01,8.5,4
-0.89,9.21,4
3.21,7.17,4
1.35,7.64,4
-0.03,8.47,4
3.28,7.86,4
-0.01,7.68,4
3.19,8.95,4
-0.54,8.18,4
0.39,7.13,4
2.75,9.17,4
0.08,7.1,4
-0.42,7.61,4
-1.24,7.36,4
-1.87,8.33,4
-1.38,8.78,4
-0.83,8.1,4
0.64,6.72,4
-0.15,6.55,4
0.36,8.75,4
-0.63,6.76,4
1.37,7.87,4
-1.7,8.83,4
2.58,8.09,4
0.18,7.66,4
-1.26,7.62,4
1.37,9.06,4
-0.09,6.72,4
2.72,8.73,4
-0.03,9.43,4
2.38,6.71,4
-0.5,9.21,4
-1.18,6.92,4
-1.68,7.51,4
0.17,9.49,4
1.28,7.82,4
0.31,6.54,4
6.23,3.1,5
6.77,4.38,5
7.09,3.27,5
2.45,4.39,5
6.59,4.56,5
4.22,2.94,5
3.66,5.42,5
2.96,5,5
5.64,4.64,5
3.12,5.01,5
5.39,5.66,5
3.84,5.67,5
3.47,2.65,5
6.53,3.05,5
4.3,3.71,5
3.38,4.3,5
5.03,2.61,5
5.23,5.38,5
7.11,3.54,5
2.55,3.35,5
6.39,2.91,5
5.97,4.79,5
3.57,3.75,5
2.96,3.88,5
5.74,5.3,5
3.13,5.29,5
6.22,3.43,5
4.95,3.88,5
5.42,2.29,5
3.42,3.83,5
4.3,4.15,5
2.97,3.89,5
2.73,4.98,5
4.12,3.66,5
6.13,3.26,5
4.91,2.3,5
2.9,5.06,5
2.35,3.55,5
7.36,4.95,5
5.71,2.66,5
6.56,4.28,5
3.65,5.28,5
6.44,2.52,5
3.1,2.9,5
3.72,3.89,5
3.77,3.29,5
6.1,2.2,5
3.9,3.49,5
4.12,4.97,5
3.8,3.71,5
0.74,-5.26,6
-0.22,-6.19,6
-1.44,-6.59,6
-1.81,-6.49,6
0.54,-5.04,6
-3.06,-7.39,6
0.14,-6.69,6
-1.81,-7.64,6
-3.01,-5.02,6
-3.8,-4.65,6
-0.96,-5.37,6
-1.51,-4.37,6
-1.28,-7.34,6
-4.64,-5.19,6
-2.34,-7.03,6
-4.69,-6.23,6
0.09,-6.91,6
-1.14,-6.33,6
-1.91,-4.32,6
-0.82,-4.39,6
-4.51,-5.64,6
-3.06,-4.23,6
0.8,-6.32,6
-1.87,-5.2,6
-1.5,-6.57,6
-0.79,-4.58,6
-0.38,-5.96,6
-4.15,-6.54,6
-3.4,-7.2,6
-0.32,-6.29,6
-2.73,-4.26,6
-3.34,-5.03,6
0.1,-4.95,6
-1.17,-4.98,6
-2.93,-5.28,6
-3.71,-6.66,6
-0.27,-7.33,6
-3.05,-7.13,6
-3.03,-7.27,6
-1.8,-7.12,6
-2.04,-4.33,6
-2.72,-4.49,6
-3.25,-5.96,6
-3.86,-7.34,6
-0.34,-6.89,6
0.28,-7.09,6
-3.83,-7.1,6
-2.24,-5.96,6
-0.44,-7.1,6
-3.06,-4.57,6
0.57,1.59,2
-1.1,0.14,2
-0.46,-1.79,2
2.72,-0.34,2
0.97,-0.3,2
0.45,-1.17,2
-1.24,-0.78,2
1.82,0.34,2
0.86,1.69,2
-0.76,-1.92,2
0.26,-0.42,2
1.93,-1.25,2
0.45,0.1,2
-2,0.1,2
2.24,0.82,2
-1.12,1.84,2
1.67,0.82,2
-0.64,-1.36,2
-1.17,1.43,2
0.24,-1.9,2
1.26,-1.43,2
-0.68,0.03,2
-2.25,-1.11,2
-0.6,-1.72,2
1.25,0.68,2
-0.71,-1.38,2
0.61,-1.83,2
-1.27,0.98,2
-1.78,-0.14,2
0.26,-1.05,2
1.49,1.3,2
-2.67,-0.53,2
1.22,-1.52,2
-0.76,1.62,2
-0.26,-0.74,2
-0.64,0.39,2
2.66,0.22,2
-0.62,-0.75,2
1.75,0.4,2
2.69,-0.21,2
0.6,-1.84,2
-0.19,1.94,2
-2.72,0.76,2
-2.34,0.73,2
-0.08,-0.06,2
-0.71,0.75,2
1.62,0.3,2
0.03,1.58,2
-1.34,0.95,2
-1.93,1.32,2
8.4,0.95,1
12.67,-0.43,1
11.25,-1.81,1
11.74,-0.54,1
11.83,0.55,1
10.2,-0.81,1
8.66,-1.11,1
9.32,-1.42,1
10.37,-0.59,1
9.23,0.43,1
11.26,-1.32,1
12.18,-0.46,1
9.15,-1.48,1
9.94,0.34,1
11.77,-0.88,1
11.81,0.31,1
